location,code,year,emissions
Europe,,1900,2.9655838
Europe,,1901,2.9146738
Europe,,1902,2.891582
Europe,,1903,2.9839547
Europe,,1904,3.013131
Europe,,1905,3.074474
Europe,,1906,3.1449249
Europe,,1907,3.4537086
Europe,,1908,3.4793112
Europe,,1909,3.4568374
Europe,,1910,3.479813
Europe,,1911,3.5427163
Europe,,1912,3.6603959
Europe,,1913,3.9528267
Europe,,1914,3.5111609
Europe,,1915,3.3219702
Europe,,1916,3.4657066
Europe,,1917,3.3960104
Europe,,1918,3.0801651
Europe,,1919,2.606613
Europe,,1920,3.01059
Europe,,1921,2.7314312
Europe,,1922,3.0268605
Europe,,1923,2.8706913
Europe,,1924,3.2883122
Europe,,1925,3.2323763
Europe,,1926,2.749292
Europe,,1927,3.4830554
Europe,,1928,3.470461
Europe,,1929,3.7394032
Europe,,1930,3.5098577
Europe,,1931,3.2525935
Europe,,1932,3.000917
Europe,,1933,3.0684218
Europe,,1934,3.3343277
Europe,,1935,3.4776454
Europe,,1936,3.6677501
Europe,,1937,3.9526641
Europe,,1938,3.9432306
Europe,,1939,4.0084133
Europe,,1940,4.239569
Europe,,1941,4.0566373
Europe,,1942,3.7616658
Europe,,1943,3.7583966
Europe,,1944,3.5299282
Europe,,1945,2.2968955
Europe,,1946,3.0779703
Europe,,1947,3.5330973
Europe,,1948,3.7905762
Europe,,1949,4.1125617
Europe,,1950,4.3333874
Europe,,1951,4.740508
Europe,,1952,4.847306
Europe,,1953,4.9376793
Europe,,1954,5.2017517
Europe,,1955,5.608118
Europe,,1956,5.91675
Europe,,1957,6.110579
Europe,,1958,6.1139913
Europe,,1959,6.188381
Europe,,1960,6.5422263
Europe,,1961,6.7137985
Europe,,1962,7.0163207
Europe,,1963,7.3903
Europe,,1964,7.6895933
Europe,,1965,7.8493195
Europe,,1966,8.0561285
Europe,,1967,8.172168
Europe,,1968,8.49377
Europe,,1969,8.899529
Europe,,1970,9.277427
Europe,,1971,9.567956
Europe,,1972,9.849934
Europe,,1973,10.226584
Europe,,1974,10.192809
Europe,,1975,10.193174
Europe,,1976,10.689769
Europe,,1977,10.717331
Europe,,1978,11.003916
Europe,,1979,11.213791
Europe,,1980,11.168543
Europe,,1981,10.716284
