location,year,emissions,group
United States,1879,1717632,high
United States,1878,1664081,high
United States,1877,1614177,high
United States,1899,1610938,high
United States,1898,1588490,high
United States,1897,1566380,high
United States,1876,1558384,high
United States,1896,1549819,high
United States,1880,1547140,high
United States,1894,1538974,high
United States,1895,1535111,high
United States,1893,1534636,high
United States,1900,1528035,high
United States,1875,1515324,high
United States,1891,1505781,high
United States,1892,1501454,high
United States,1901,1487370,high
United States,1902,1485563,high
United States,1890,1484578,high
United States,1904,1475510,high
United States,1874,1468599,high
United States,1883,1462001,high
United States,1903,1460454,high
United States,1905,1459627,high
United States,1881,1458510,high
United States,1909,1455206,high
United States,1882,1454391,high
United States,1907,1447729,high
United States,1908,1446782,high
United States,1906,1444164,high
United States,1884,1440070,high
United States,1887,1430440,high
United States,1885,1420023,high
United States,1886,1416673,high
United States,1888,1416530,high
United States,1873,1401631,high
United States,1889,1394678,high
United States,1910,1377620,high
United States,1911,1350665,high
United States,1872,1317452,high
United States,1912,1285860,high
United States,1914,1284873,high
United States,1913,1280294,high
United States,1915,1256993,high
United States,1871,1237908,high
United States,1916,1234916,high
United States,1918,1233105,high
United States,1917,1228417,high
United States,1921,1226516,high
United States,1920,1215809,high
United States,1919,1211732,high
United States,1922,1200865,high
United States,1923,1173125,high
United States,1924,1145207,high
United States,1925,1144616,high
United States,1926,1103984,high
United States,1870,1099536,high
United States,1859,1087023,high
United States,1927,1072538,high
United States,1858,1057202,high
United States,1928,1045602,high
United States,1857,1029169,high
United States,1929,1018654,high
Democratic Republic of Congo,2011,1011234,low
United States,1856,1002696,high
United States,1855,985104,high
United States,1854,971249,high
Democratic Republic of Congo,2013,971053,low
United States,1860,967678,high
Democratic Republic of Congo,2012,942997,low
United States,1853,941598,high
United States,1930,902725,high
United States,1852,896828,high
United States,1861,882237,high
United States,1862,871996,high
Democratic Republic of Congo,2010,870990,low
United States,1851,867383,high
United States,1863,862466,high
United States,1931,854416,high
United States,1864,835186,high
United States,1850,806637,high
United States,1865,802880,high
United States,1968,795518,high
United States,1932,788231,high
Democratic Republic of Congo,2014,786798,low
United States,1866,786338,high
United States,1867,785165,high
United States,1868,770130,high
United States,1869,744897,high
United States,1933,742017,high
Democratic Republic of Congo,2009,732710,low
United States,1934,715492,high
United States,1935,662682,high
Democratic Republic of Congo,2017,661983,low
Democratic Republic of Congo,2016,654202,low
United States,1946,652699,high
United States,1944,652472,high
United States,1945,650440,high
United States,1947,648576,high
United States,1948,647013,high
United States,1943,642260,high
United States,1942,638680,high
United States,1936,637980,high
United States,1941,630595,high
Democratic Republic of Congo,2015,621155,low
United States,1940,606107,high
United States,1949,598257,high
United States,1937,592645,high
Democratic Republic of Congo,1960,579588,low
United States,1938,567160,high
Democratic Republic of Congo,2021,556582,low
Democratic Republic of Congo,2018,536647,low
United States,1939,534653,high
Democratic Republic of Congo,2022,512418,low
Democratic Republic of Congo,2020,495091,low
United States,1967,484001,high
United States,1950,481836,high
Democratic Republic of Congo,1959,454719,low
Democratic Republic of Congo,2008,453498,low
United States,1969,443079,high
Democratic Republic of Congo,1958,442657,low
Canada,1959,426984,high
Canada,1958,423143,high
United States,1951,421568,high
Democratic Republic of Congo,1957,417588,low
Canada,1957,413277,high
Canada,1956,404224,high
Canada,1955,400193,high
Democratic Republic of Congo,1956,390587,low
Democratic Republic of Congo,1961,390453,low
Canada,1954,389469,high
Canada,1919,386723,high
Canada,1918,385778,high
Canada,1953,382236,high
Democratic Republic of Congo,2019,378408,low
Canada,1952,376193,high
Canada,1917,374045,high
Democratic Republic of Congo,1955,373147,low
Canada,1916,370814,high
United States,1952,370148,high
Canada,1960,368659,high
Canada,1951,366401,high
Canada,1915,365216,high
Canada,1920,363266,high
Canada,1950,359451,high
Canada,1935,357518,high
Canada,1936,356850,high
Canada,1961,356243,high
Canada,1914,355580,high
Democratic Republic of Congo,1954,354717,low
Canada,1939,354187,high
Canada,1934,352893,high
Canada,1921,350279,high
Canada,1933,349741,high
Canada,1938,349080,high
Canada,1913,348129,high
Canada,1931,348105,high
Canada,1932,347006,high
Canada,1923,346831,high
Canada,1937,346051,high
Canada,1922,346043,high
Canada,1963,345655,high
United States,1953,345485,high
Canada,1962,343546,high
United States,1954,341894,high
Canada,1930,340921,high
Canada,1912,340389,high
Canada,1964,339903,high
Canada,1924,339435,high
Canada,1925,337795,high
Canada,1926,336126,high
Canada,1927,335900,high
Canada,1911,335225,high
Democratic Republic of Congo,1953,335007,low
Canada,1940,331951,high
Canada,1928,331315,high
United States,1977,329515,high
Canada,1929,328691,high
Canada,1910,327070,high
United States,1955,326500,high
United States,1970,325684,high
Canada,1941,324904,high
Canada,1942,324856,high
Canada,1946,322086,high
Canada,1944,320285,high
Canada,1965,320274,high
Canada,1943,319836,high
Canada,1945,318354,high
Canada,1947,316344,high
Canada,1909,315684,high
Democratic Republic of Congo,1952,314350,low
United States,1956,313602,high
Canada,1948,305833,high
Canada,1949,304990,high
Canada,1908,299926,high
Democratic Republic of Congo,1962,299230,low
United States,1957,293689,high
Canada,1966,292672,high
Democratic Republic of Congo,1951,292343,low
Canada,1907,291259,high
United States,1990,289245,high
United States,1985,286520,high
Canada,1967,282512,high
Canada,1906,282456,high
Democratic Republic of Congo,1950,276616,low
United States,1984,276301,high
United States,1989,272723,high
United States,1988,272620,high
Canada,1905,270338,high
United States,1971,269927,high
Canada,1968,269762,high
United States,1958,269713,high
Canada,2001,268741,high
United States,1983,267384,high
United States,1980,265712,high
United States,1981,262152,high
Canada,1980,261279,high
Canada,1978,261215,high
Canada,1969,258901,high
Canada,1981,257627,high
Canada,1904,257513,high
Canada,1979,257286,high
Canada,1977,256891,high
Canada,1971,256682,high
Canada,1985,256476,high
Canada,1984,256026,high
United States,1987,255069,high
United States,1982,253937,high
Canada,1970,253861,high
United States,1978,252687,high
Canada,1986,252484,high
Canada,1988,251026,high
Democratic Republic of Congo,1949,249984,low
Canada,1987,249924,high
Canada,1972,248975,high
Democratic Republic of Congo,1948,247294,low
Canada,1976,246992,high
Canada,1982,246116,high
Canada,1989,245915,high
Canada,1973,244946,high
Democratic Republic of Congo,1947,243469,low
Canada,1903,242548,high
Canada,1974,240381,high
Canada,1990,240016,high
Canada,1983,239851,high
Canada,1997,237041,high
United States,1991,237034,high
United States,1979,236467,high
Canada,1975,235269,high
Canada,2005,232338,high
Canada,1998,232258,high
Democratic Republic of Congo,1945,231724,low
United States,1972,231376,high
Canada,1995,230994,high
Canada,1996,230454,high
Democratic Republic of Congo,1946,229957,low
Canada,2002,229546,high
Canada,2000,229469,high
Canada,1994,229304,high
Canada,1999,229116,high
Canada,1992,228556,high
Canada,1902,228347,high
Ethiopia,2020,227970,low
Canada,1993,227373,high
Democratic Republic of Congo,1944,227217,low
Ethiopia,2021,226579,low
Canada,1991,226442,high
United States,1986,225938,high
United States,1962,224868,high
Ethiopia,2019,224817,low
Ethiopia,2022,222299,low
Canada,2004,218488,high
Democratic Republic of Congo,1963,217358,low
United States,1994,215746,high
Democratic Republic of Congo,1943,215075,low
Canada,2003,213766,high
Ethiopia,2018,212522,low
Ethiopia,2017,210411,low
Canada,1901,210352,high
Democratic Republic of Congo,1942,206625,low
Ethiopia,2016,202698,low
United States,1974,199414,high
Ethiopia,2003,199388,low
United States,1973,196085,high
United States,1976,195823,high
Myanmar,1914,194414,low
United States,1959,193967,high
United States,1960,190493,high
Myanmar,1915,189033,low
Myanmar,1903,188933,low
Canada,1900,188144,high
Myanmar,1908,187935,low
Myanmar,1918,186337,low
Myanmar,1902,185943,low
United States,1975,185906,high
Canada,2006,185390,high
Myanmar,1919,184609,low
Myanmar,1910,184058,low
Myanmar,1913,183728,low
Myanmar,2007,182424,low
Myanmar,1911,181947,low
Democratic Republic of Congo,1999,181432,low
Myanmar,1907,180499,low
Myanmar,1912,180441,low
United States,1992,179678,high
Myanmar,2006,179630,low
Democratic Republic of Congo,1941,179611,low
Myanmar,1906,178693,low
Myanmar,1904,177231,low
Myanmar,1917,175643,low
Myanmar,1909,175176,low
Democratic Republic of Congo,2000,174847,low
Myanmar,1916,173523,low
Myanmar,1905,172587,low
Democratic Republic of Congo,1964,170579,low
Ethiopia,2006,170531,low
Ethiopia,2005,170392,low
Ethiopia,2004,170055,low
Democratic Republic of Congo,1998,169402,low
Myanmar,2008,167362,low
Canada,2007,167196,high
Ethiopia,2015,166487,low
Democratic Republic of Congo,1997,164937,low
United States,1993,164854,high
Myanmar,1901,164671,low
Democratic Republic of Congo,2003,162588,low
Canada,2017,155228,high
Myanmar,1897,153760,low
Myanmar,1894,153110,low
Canada,1889,152556,high
Myanmar,1896,152417,low
United States,1999,151724,high
Myanmar,1900,151292,low
Canada,1888,151189,high
Myanmar,2005,150822,low
Democratic Republic of Congo,2007,150047,low
Canada,1887,148976,high
Myanmar,1892,148822,low
Myanmar,1891,148350,low
Canada,2015,147537,high
Canada,1886,147477,high
Myanmar,1899,147332,low
Democratic Republic of Congo,2001,147277,low
Myanmar,1898,146763,low
Myanmar,1893,146190,low
Myanmar,1959,145415,low
Democratic Republic of Congo,1940,145389,low
United States,2017,145118,high
Myanmar,1889,144279,low
Myanmar,1895,144194,low
Myanmar,2009,142954,low
Democratic Republic of Congo,2006,142474,low
Democratic Republic of Congo,1965,142337,low
Myanmar,1920,142232,low
United States,2022,141750,high
Canada,1869,141196,high
Canada,1890,140765,high
Ethiopia,2009,140728,low
Myanmar,1887,140679,low
Canada,1885,140148,high
Canada,1868,139671,high
Canada,1884,139616,high
Canada,1896,138877,high
Canada,1867,138777,high
Canada,2008,138471,high
United States,2000,137626,high
Canada,1894,136890,high
Canada,2018,136751,high
Myanmar,1886,136331,low
Democratic Republic of Congo,2002,136262,low
Canada,1895,136155,high
Ethiopia,2010,136052,low
Ethiopia,2002,135743,low
Canada,1882,135287,high
Myanmar,1890,135272,low
Democratic Republic of Congo,2004,135249,low
Canada,1866,134832,high
Canada,1870,133724,high
Canada,1880,133362,high
Canada,1883,133293,high
Democratic Republic of Congo,2005,133042,low
Myanmar,1885,132886,low
Canada,2014,132574,high
Canada,1878,132237,high
Canada,1873,132016,high
Canada,1891,131704,high
Canada,1879,131403,high
Canada,1874,131343,high
Myanmar,1888,131337,low
Myanmar,1884,131106,low
Canada,1898,130957,high
Canada,1871,130949,high
Canada,1877,130788,high
Canada,1897,130619,high
Canada,1892,129996,high
Canada,2019,129930,high
Canada,1881,129911,high
Canada,1893,129526,high
Ethiopia,2008,129509,low
Canada,1876,128880,high
Canada,1872,128110,high
United States,2021,127596,high
Canada,1899,126371,high
Democratic Republic of Congo,1966,126319,low
Myanmar,2010,125761,low
Canada,1875,125668,high
Myanmar,1883,124559,low
Ethiopia,2007,123320,low
Canada,2020,122832,high
Canada,1864,122595,high
Canada,2013,122246,high
Myanmar,1882,122126,low
Ethiopia,1960,121403,low
Canada,1861,120950,high
Democratic Republic of Congo,1967,120931,low
Canada,1862,120665,high
Democratic Republic of Congo,1996,120581,low
Canada,1865,119946,high
Democratic Republic of Congo,1995,118842,low
Canada,2021,118449,high
