location,year,emissions,group
Singapore,1850,9.548277,high
Singapore,1851,6.825676,high
Singapore,1852,21.520777,high
Singapore,1853,10.1204405,high
Singapore,1854,6.953621,high
Singapore,1855,21.157251,high
Singapore,1856,9.821905,high
Singapore,1857,6.572164,high
Singapore,1858,5.2785163,high
Singapore,1859,13.266264,high
Singapore,1860,7.135212,high
Singapore,1861,5.468618,high
Singapore,1862,4.8101783,high
Singapore,1863,4.4700174,high
Singapore,1864,4.23451,high
Singapore,1865,4.0094643,high
Singapore,1866,7.1702065,high
Singapore,1867,4.8650255,high
Singapore,1868,4.189859,high
Singapore,1869,3.813079,high
Singapore,1870,2.9903347,high
Singapore,1871,2.484997,high
Singapore,1872,2.1233277,high
Singapore,1873,1.8641909,high
Singapore,1874,1.6394266,high
Singapore,1875,1.4397781,high
Singapore,1876,1.2887067,high
Singapore,1877,1.1571643,high
Singapore,1878,1.0523372,high
Singapore,1879,0.90690106,high
Singapore,1880,0.9248143,high
Singapore,1881,0.8613523,high
Singapore,1882,0.79453737,high
Singapore,1883,0.7518596,high
Singapore,1884,0.7059093,high
Singapore,1885,0.62446535,high
Singapore,1886,0.6491692,high
Singapore,1887,0.60682476,high
Singapore,1888,0.5840951,high
Singapore,1889,0.54946196,high
Singapore,1890,0.41807827,high
Singapore,1891,0.34470063,high
Singapore,1892,0.28475067,high
Singapore,1893,0.2400047,high
Singapore,1894,0.21886118,high
Singapore,1895,0.17992106,high
Singapore,1896,0.16223004,high
Singapore,1897,0.19101503,high
Singapore,1898,0.13047433,high
Singapore,1899,0.11103897,high
Singapore,1900,0.14141452,high
Singapore,1901,0.14562534,high
Singapore,1902,0.1477994,high
Singapore,1903,0.15195917,high
Singapore,1904,0.16058253,high
Singapore,1905,0.16147721,high
Singapore,1906,0.1279775,high
Singapore,1907,0.105773754,high
Singapore,1908,0.12209143,high
Singapore,1909,0.15033202,high
Singapore,1910,0.18004769,high
Singapore,1911,0.19402778,high
Singapore,1912,0.20441896,high
Singapore,1913,0.20458537,high
Singapore,1914,0.21512999,high
